Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum
2008,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8665,0,2,4,6,12,23,5.3,44,27
2007,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8617,0,2,4,7,14,33,6,57,37
2006,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8639,1,2,4,7,14,27,6.1,53,34
2005,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8471,1,2,5,8,18,46,7.7,66,47
2004,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8110,1,2,4,8,15,33,6.5,54,42
2003,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8128,1,3,5,8,17,33,7.2,60,41
2017,51002,Ottawa Central,960 Carling Ave.,A,8723,2,3,5,7,11,22,5.8,69,27
2016,51002,Ottawa Central,960 Carling Ave.,A,8502,2,3,4,7,12,22,5.6,41,28
2015,51002,Ottawa Central,960 Carling Ave.,A,8621,2,4,5,8,13,25,6.9,46,33
2014,51002,Ottawa Central,960 Carling Ave.,A,8441,2,4,5,8,13,28,6.8,45,27
2013,51002,Ottawa Central,960 Carling Ave.,A,8646,2,4,5,8,14,31,7.1,57,47
2012,51002,Ottawa Central,960 Carling Ave.,A,8680,0,2,4,6,11,20,5,32,22
2011,51002,Ottawa Central,960 Carling Ave.,A,8655,0,2,3,6,10,18,4.5,51,20
2010,51002,Ottawa Central,960 Carling Ave.,A,8700,0,1,3,5,10,22,4.3,122,46
2009,51002,Ottawa Central,960 Carling Ave.,A,8621,0,2,3,5,10,20,4.4,43,26
2008,51002,Ottawa Central,960 Carling Ave.,A,8701,0,2,4,6,12,22,5.1,40,26
2007,51002,Ottawa Central,960 Carling Ave.,A,8344,0,2,4,6,13,30,5.8,51,34
2021,51010,Petawawa,Petawawa Research Forest Facility,A,8620,2,2,3,5,8,20,4.32,41,30.2
2020,51010,Petawawa,Petawawa Research Forest Facility,A,8556,1,2,3,5,8,13,4.15,22,12.2
2019,51010,Petawawa,Petawawa Research Forest Facility,A,8623,1,2,3,5,7,14,3.8,29,13.6
2018,51010,Petawawa,Petawawa Research Forest Facility,A,8557,1,2,3,4,7,14,3.6,28,22
2017,51010,Petawawa,Petawawa Research Forest Facility,A,8471,1,2,3,5,8,14,4.1,23,14
2016,51010,Petawawa,Petawawa Research Forest Facility,A,8746,2,2,3,5,8,15,4.4,35,20
2015,51010,Petawawa,Petawawa Research Forest Facility,A,8525,2,3,4,6,9,16,4.8,28,15
2014,51010,Petawawa,Petawawa Research Forest Facility,A,8700,2,3,4,5,9,16,4.7,34,17
2013,51010,Petawawa,Petawawa Research Forest Facility,A,8629,2,3,4,5,9,19,4.8,50,24
2012,51010,Petawawa,Petawawa Research Forest Facility,A,8691,0,1,2,4,9,17,3.6,28,17
2011,51010,Petawawa,Petawawa Research Forest Facility,A,8618,0,1,3,4,8,14,3.4,45,14
2010,51010,Petawawa,Petawawa Research Forest Facility,A,8725,0,1,2,4,8,17,3.2,38,18
2009,51010,Petawawa,Petawawa Research Forest Facility,A,8733,0,1,2,4,7,15,3.1,33,26
2008,51010,Petawawa,Petawawa Research Forest Facility,A,8710,0,1,3,4,9,19,3.9,27,19
2007,51010,Petawawa,Petawawa Research Forest Facility,A,8607,0,1,2,4,9,26,4,49,35
2006,52020,Kingston,133 Dalton St.,A,7011,1,3,5,8,16,33,7,56,33
2004,52020,Kingston,133 Dalton St.,A,8712,1,3,5,9,18,37,7.6,58,42
2003,52020,Kingston,133 Dalton St.,A,6964,1,4,6,10,19,43,8.7,99,55
2013,52022,Kingston,752 King St. W.,A,8401,2,4,5,7,12,26,6.5,75,50
2012,52022,Kingston,752 King St. W.,A,8578,1,3,5,8,15,27,6.8,44,24
2011,52022,Kingston,752 King St. W.,A,8559,1,3,5,8,15,31,6.9,49,37
2010,52022,Kingston,752 King St. W.,A,8511,1,3,4,7,15,36,6.5,46,37
2009,52022,Kingston,752 King St. W.,A,8445,1,3,5,8,13,27,6.4,49,40
2008,52022,Kingston,752 King St. W.,A,8628,1,3,5,8,16,31,7,54,34
2007,52022,Kingston,752 King St. W.,A,8723,1,3,5,8,18,44,7.5,57,45
2022,52023,Kingston,23 Beechgrove Lane,A,8718,1,3,5,7,10,18,5.36,41,17.6
2021,52023,Kingston,23 Beechgrove Lane,A,8701,1,3,5,8,13,27,6.45,74,35.1
2020,52023,Kingston,23 Beechgrove Lane,A,8587,2,3,4,7,11,21,5.59,32,17.4
2019,52023,Kingston,23 Beechgrove Lane,A,8735,1,3,4,6,11,22,5.4,59,25.7
2018,52023,Kingston,23 Beechgrove Lane,A,8714,1,2,4,7,12,22,5.6,37,26.3
2017,52023,Kingston,23 Beechgrove Lane,A,8616,1,3,4,6,11,18,5.3,38,19
2016,52023,Kingston,23 Beechgrove Lane,A,8680,2,3,5,7,11,19,5.8,28,19
2015,52023,Kingston,23 Beechgrove Lane,A,8714,2,4,5,7,13,21,6.3,39,18
2014,52023,Kingston,23 Beechgrove Lane,A,8675,2,4,5,8,13,24,6.8,52,30
2022,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8741,2,3,4,6,11,19,5.49,50,19.9
2021,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8549,2,3,5,7,11,23,5.96,65,37.7
2020,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8578,2,3,5,8,13,23,6.3,34,21.6
2019,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8586,2,3,4,7,13,25,6.1,45,30.6
2018,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8699,2,3,5,8,13,24,6.4,40,24.5
2017,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8614,2,3,4,7,12,20,5.8,39,20
2016,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8719,2,3,4,6,11,20,5.5,36,20
2015,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8367,2,3,5,8,14,23,6.6,41,22
2014,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8722,2,4,6,8,13,24,6.8,43,23
2013,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8693,2,4,5,8,14,27,6.9,79,40
2012,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8358,0,2,4,7,11,20,5.1,44,19
2011,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8696,0,2,4,6,11,21,4.8,46,19
2010,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,7708,0,2,3,5,10,20,4.3,30,25
2009,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8654,1,2,4,6,11,21,4.9,36,31
2008,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8721,1,3,5,7,14,26,6.1,49,27
2007,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8703,1,2,4,7,14,37,6.2,52,39
2006,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8688,1,2,4,7,14,31,6.2,51,34
2005,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8670,0,2,4,7,18,41,7,65,39
2004,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8739,1,2,4,7,15,37,6.4,54,37
2003,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8658,1,3,5,8,15,34,6.9,57,42
2014,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8633,2,4,6,8,13,25,7,56,33
2013,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8565,2,4,5,7,13,26,6.7,91,55
2012,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8733,1,2,4,6,11,20,5,32,20
2011,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8716,1,2,4,6,11,22,5.2,35,22
2010,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8687,0,2,3,6,12,29,5.3,133,58
2009,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8614,1,2,4,6,11,19,5,40,25
2008,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8689,0,2,4,7,13,24,5.7,40,27
2007,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8698,1,2,4,7,14,35,6.2,52,40
2006,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8609,1,3,4,8,16,33,6.8,56,37
2005,56010,Morrisburg,"County Rd. 2, Morrisburg Water Tower",A,8697,0,2,4,8,18,43,7,59,39
2022,56051,Cornwall,Bedford St./3rd St. W.,A,8726,2,3,5,8,13,25,6.4,49,28.1
2021,56051,Cornwall,Bedford St./3rd St. W.,A,8570,2,3,5,7,13,30,6.53,66,32.6
2020,56051,Cornwall,Bedford St./3rd St. W.,A,8731,2,4,5,7,11,22,6.03,42,23.8
2019,56051,Cornwall,Bedford St./3rd St. W.,A,8702,2,3,5,7,11,23,5.9,67,25.3
2018,56051,Cornwall,Bedford St./3rd St. W.,A,8709,2,3,5,7,13,23,6.3,47,22.1
2017,56051,Cornwall,Bedford St./3rd St. W.,A,8486,1,3,5,7,12,24,5.9,47,26
2016,56051,Cornwall,Bedford St./3rd St. W.,A,8720,2,4,5,7,12,25,6.4,55,31
2015,56051,Cornwall,Bedford St./3rd St. W.,A,8607,2,4,6,8,13,26,6.9,63,27
2014,56051,Cornwall,Bedford St./3rd St. W.,A,8699,2,4,6,8,13,26,7,58,31
2013,56051,Cornwall,Bedford St./3rd St. W.,A,8580,2,4,6,9,15,28,7.7,70,55
2012,56051,Cornwall,Bedford St./3rd St. W.,A,8641,0,2,4,7,12,25,5.4,57,27
2011,56051,Cornwall,Bedford St./3rd St. W.,A,8713,1,3,4,7,12,23,5.7,43,24
2010,56051,Cornwall,Bedford St./3rd St. W.,A,8695,0,2,4,6,13,30,5.7,136,57
2009,56051,Cornwall,Bedford St./3rd St. W.,A,8666,1,2,4,7,11,25,5.4,49,37
2008,56051,Cornwall,Bedford St./3rd St. W.,A,8718,1,3,4,7,14,27,6.1,48,34
2007,56051,Cornwall,Bedford St./3rd St. W.,A,8687,1,2,4,7,15,33,6.4,52,38
2006,56051,Cornwall,Bedford St./3rd St. W.,A,8675,1,3,4,7,15,30,6.5,52,34
2005,56051,Cornwall,Bedford St./3rd St. W.,A,8723,0,2,5,8,19,44,7.6,76,46
2004,56051,Cornwall,Bedford St./3rd St. W.,A,8727,0,2,5,8,16,34,6.8,60,37
2022,59006,Peterborough,10 Hospital Dr.,A,8601,1,3,5,8,14,26,6.64,45,27.1
2021,59006,Peterborough,10 Hospital Dr.,A,8738,1,2,4,8,15,31,6.45,67,28.6
2020,59006,Peterborough,10 Hospital Dr.,A,8386,1,2,4,7,13,23,5.6,48,18.6
2019,59006,Peterborough,10 Hospital Dr.,A,8730,1,3,4,7,13,25,6,48,28
2018,59006,Peterborough,10 Hospital Dr.,A,8688,1,3,5,7,14,26,6.3,40,27.2
2017,59006,Peterborough,10 Hospital Dr.,A,8726,1,3,4,7,12,23,5.8,44,22
2016,59006,Peterborough,10 Hospital Dr.,A,8508,1,3,5,7,12,22,5.8,38,21
2015,59006,Peterborough,10 Hospital Dr.,A,8678,2,4,5,8,14,26,6.8,56,26
2014,59006,Peterborough,10 Hospital Dr.,A,8637,2,4,5,8,14,24,6.9,61,29
2013,59006,Peterborough,10 Hospital Dr.,A,8617,2,4,6,9,15,31,7.4,77,36
2012,59006,Peterborough,10 Hospital Dr.,A,8615,0,2,4,6,11,20,4.9,50,21
2011,59006,Peterborough,10 Hospital Dr.,A,8677,1,2,4,7,12,23,5.5,48,23
2010,59006,Peterborough,10 Hospital Dr.,A,8692,0,2,3,6,12,26,5.1,49,26
2009,59006,Peterborough,10 Hospital Dr.,A,8646,0,2,4,6,11,20,4.9,31,15
2008,59006,Peterborough,10 Hospital Dr.,A,8695,1,3,4,7,14,26,6,42,24
2007,59006,Peterborough,10 Hospital Dr.,A,8690,1,2,4,7,15,38,6.4,53,39
2006,59006,Peterborough,10 Hospital Dr.,A,8677,1,2,4,7,15,32,6.3,53,36
2005,59006,Peterborough,10 Hospital Dr.,A,8680,0,2,4,8,19,45,7.5,70,50
2004,59006,Peterborough,10 Hospital Dr.,A,8695,0,2,3,6,15,40,5.9,55,39
2003,59006,Peterborough,10 Hospital Dr.,A,8608,1,3,5,8,15,35,6.7,60,42
2003,63200,Thunder Bay,"615 James St. S., MTO",A,8208,1,3,4,7,13,28,6.1,55,32
2022,63203,Thunder Bay,421 James St. S.,A,8748,2,3,4,6,9,15,5.03,30,17.5
2021,63203,Thunder Bay,421 James St. S.,A,8736,2,3,5,7,12,41,6.61,127,52.2
2020,63203,Thunder Bay,421 James St. S.,A,8697,2,3,4,6,10,20,5.45,48,15.4
2019,63203,Thunder Bay,421 James St. S.,A,8702,1,3,4,6,10,22,5.1,70,23.8
2018,63203,Thunder Bay,421 James St. S.,A,8637,2,3,5,7,12,24,6,48,25.2
2017,63203,Thunder Bay,421 James St. S.,A,8644,1,3,4,6,10,20,5.1,34,22
2016,63203,Thunder Bay,421 James St. S.,A,8599,2,3,4,6,9,15,4.9,32,13
2015,63203,Thunder Bay,421 James St. S.,A,8744,3,4,5,7,11,23,6.5,91,32
2014,63203,Thunder Bay,421 James St. S.,A,8253,2,3,5,8,13,25,6.6,48,21
2013,63203,Thunder Bay,421 James St. S.,A,8728,2,4,5,7,12,22,6.3,37,21
2012,63203,Thunder Bay,421 James St. S.,A,8381,0,2,3,5,9,15,4.1,30,13
2011,63203,Thunder Bay,421 James St. S.,A,8532,0,2,4,6,10,20,4.8,84,52
2010,63203,Thunder Bay,421 James St. S.,A,8552,0,1,3,5,10,17,4.1,37,15
2009,63203,Thunder Bay,421 James St. S.,A,8652,0,1,3,5,9,17,3.8,30,18
2008,63203,Thunder Bay,421 James St. S.,A,8724,0,2,3,5,9,21,4.2,72,22
2007,63203,Thunder Bay,421 James St. S.,A,8733,0,1,3,5,11,21,4.4,51,25
2006,63203,Thunder Bay,421 James St. S.,A,8695,0,2,3,6,11,22,4.8,46,22
2004,63203,Thunder Bay,421 James St. S.,A,8097,0,1,3,5,10,24,4.2,56,22
2022,71078,Sault Ste. Marie,Sault College,A,8727,1,2,3,5,9,18,4.45,51,16.3
2021,71078,Sault Ste. Marie,Sault College,A,8698,2,3,4,6,11,31,5.75,101,44.8
2020,71078,Sault Ste. Marie,Sault College,A,8749,2,2,3,5,9,16,4.54,43,16.7
2019,71078,Sault Ste. Marie,Sault College,A,8652,1,2,4,5,10,20,4.8,55,18.5
2018,71078,Sault Ste. Marie,Sault College,A,8721,1,3,4,6,12,23,5.5,61,21.2
2017,71078,Sault Ste. Marie,Sault College,A,8718,2,3,4,6,10,18,5,33,16
2016,71078,Sault Ste. Marie,Sault College,A,8708,2,3,4,6,10,19,4.9,58,16
2015,71078,Sault Ste. Marie,Sault College,A,8385,2,3,5,7,12,21,5.9,45,17
2014,71078,Sault Ste. Marie,Sault College,A,8624,2,3,5,7,12,21,6,51,17
2013,71078,Sault Ste. Marie,Sault College,A,8682,2,3,4,6,11,20,5.6,47,18
2012,71078,Sault Ste. Marie,Sault College,A,8213,0,1,3,5,10,21,4.4,86,27
2011,71078,Sault Ste. Marie,Sault College,A,8633,0,2,3,5,10,21,4.4,46,29
2010,71078,Sault Ste. Marie,Sault College,A,8670,0,1,3,5,10,19,4.1,39,16
2009,71078,Sault Ste. Marie,Sault College,A,8639,0,1,3,5,9,20,4,59,25
2008,71078,Sault Ste. Marie,Sault College,A,8707,0,2,3,5,10,20,4.4,41,20
2007,71078,Sault Ste. Marie,Sault College,A,8487,0,2,3,6,13,30,5.3,50,33
2006,71078,Sault Ste. Marie,Sault College,A,8714,0,2,3,6,12,25,5.2,51,30
2005,71078,Sault Ste. Marie,Sault College,A,8729,0,1,3,6,14,35,5.4,107,46
2004,71078,Sault Ste. Marie,Sault College,A,8719,0,1,2,5,12,29,4.5,131,34
2022,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8691,2,3,4,6,10,18,5.06,34,15.8
2021,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8743,2,3,4,6,11,25,5.66,91,37
2020,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8744,1,2,4,5,9,17,4.57,34,17.6
2019,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8711,1,2,4,5,9,17,4.5,59,18.7
2018,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8681,1,2,4,6,11,27,5.5,198,52.5
2017,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8721,2,3,4,5,9,15,4.6,31,13
2016,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8761,1,2,4,5,9,17,4.6,28,17
2015,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8613,2,3,4,6,11,19,5.3,46,17
2014,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8616,2,3,4,6,10,20,5.3,43,18
2013,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8536,2,3,4,6,10,19,5.2,38,16
2012,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8726,0,2,3,5,10,18,4.1,42,19
2011,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8702,0,2,3,5,9,19,4.2,54,24
2010,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8716,0,1,3,4,9,19,3.8,31,18
2009,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8711,0,1,3,5,9,16,3.8,30,25
2008,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8737,0,2,3,5,10,22,4.6,59,23
2007,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8679,0,2,3,5,12,31,5,46,30
2006,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8669,0,2,3,6,11,25,4.9,43,30
2005,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8690,0,1,3,6,14,38,5.6,67,43
2004,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8653,0,1,2,5,12,29,4.5,40,33
2003,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8458,1,2,4,6,12,26,5.5,51,31
2012,77219,Sudbury,1222 Ramsey Lake Rd.,A,8754,0,1,3,5,9,19,4,50,33
2011,77219,Sudbury,1222 Ramsey Lake Rd.,A,8712,0,2,3,5,9,19,4,38,22
2010,77219,Sudbury,1222 Ramsey Lake Rd.,A,8728,0,1,2,4,9,18,3.6,31,16
2009,77219,Sudbury,1222 Ramsey Lake Rd.,A,8598,0,1,2,4,8,15,3.4,27,13
2008,77219,Sudbury,1222 Ramsey Lake Rd.,A,8561,0,2,3,5,9,21,4.1,42,23
2007,77219,Sudbury,1222 Ramsey Lake Rd.,A,8465,0,2,3,5,12,31,4.9,46,32
2006,77219,Sudbury,1222 Ramsey Lake Rd.,A,8680,0,2,3,5,11,23,4.6,36,27
2005,77219,Sudbury,1222 Ramsey Lake Rd.,A,8571,0,1,3,5,13,36,5.1,69,40
2004,77219,Sudbury,1222 Ramsey Lake Rd.,A,4455,0,1,2,4,13,26,4.3,44,25
2022,77233,Sudbury,155 Elm St.,A,8707,1,3,4,6,11,21,5.23,45,19
2021,77233,Sudbury,155 Elm St.,A,8694,2,3,4,6,11,28,5.79,163,48.8
2020,77233,Sudbury,155 Elm St.,A,8730,2,3,4,6,10,20,5.1,41,19.8
2019,77233,Sudbury,155 Elm St.,A,8706,1,2,4,6,10,22,5,75,22
2018,77233,Sudbury,155 Elm St.,A,8673,1,2,4,6,11,22,5.4,95,23.1
2017,77233,Sudbury,155 Elm St.,A,8335,1,3,4,6,10,19,5,39,15
2016,77233,Sudbury,155 Elm Street,A,8731,2,3,4,6,11,21,5.4,64,17
2015,77233,Sudbury,155 Elm St.,A,8730,2,3,5,7,13,23,6.3,47,17
2014,77233,Sudbury,155 Elm Street,A,8693,2,3,5,7,12,22,6,60,24
2013,77233,Sudbury,155 Elm Street,A,8665,2,3,4,6,12,23,5.7,50,24
